image_id,status,body,target_meta,timestamp_utc,predicted_range_km,true_range_km,relative_range_error,angular_center_error_arcsec,note
co-iss-n1691635643,NOMINAL,saturn,Saturn,2011-08-10T01:58:00.661,37976636.278071,2694558.392,13.093826,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1691636719,REFUSED,,Saturn,2011-08-10T02:15:58.054,,,,,
co-iss-n1691767707,REFUSED,,Tarqeq,2011-08-11T14:31:28.426,,,,,
co-iss-n1697869850,REFUSED,,Loge,2011-10-21T05:33:12.806,,,,,
co-iss-n1709936623,REFUSED,,Jarnsaxa,2012-03-08T21:24:49.374,,,,,
co-iss-n1734876022,REFUSED,,Surtur,2012-12-22T12:58:49.073,,,,,
co-iss-n1737253518,REFUSED,,Saturn Rings,2013-01-19T01:31:09.429,,,,,
co-iss-n1737255170,REFUSED,,Saturn Rings,2013-01-19T01:58:41.419,,,,,
co-iss-n1737256468,REFUSED,,Saturn Rings,2013-01-19T02:20:19.410,,,,,
co-iss-n1737261070,REFUSED,,Saturn Rings,2013-01-19T03:37:01.381,,,,,
co-iss-n1743017284,REFUSED,,Narvi,2013-03-26T18:25:39.409,,,,,
co-iss-n1747571767,REFUSED,,Saturn,2013-05-18T11:40:52.762,,,,,
co-iss-n1747572767,REFUSED,,Saturn,2013-05-18T11:57:32.756,,,,,
co-iss-n1747573887,REFUSED,,Saturn,2013-05-18T12:16:12.749,,,,,
co-iss-n1747574607,REFUSED,,Saturn,2013-05-18T12:28:12.744,,,,,
co-iss-n1747574727,REFUSED,,Saturn,2013-05-18T12:30:12.743,,,,,
co-iss-n1747574887,REFUSED,,Saturn,2013-05-18T12:32:52.742,,,,,
co-iss-n1747575287,REFUSED,,Saturn,2013-05-18T12:39:32.740,,,,,
co-iss-n1747575447,REFUSED,,Saturn,2013-05-18T12:42:12.739,,,,,
co-iss-n1749571907,NOMINAL,titan,Titan,2013-06-10T15:16:12.517,925519.319861,1432832.353,0.354063,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1749926659,NOMINAL,titan,Titan,2013-06-14T17:48:12.465,1535372.965238,1948210.231,0.211906,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1749927061,NOMINAL,titan,Titan,2013-06-14T17:55:32.098,3038195.974529,1949966.015,0.558076,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1749927214,NOMINAL,titan,Titan,2013-06-14T17:57:19.481,1414159.073053,1950394.738,0.274937,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1750350622,NOMINAL,titan,Titan,2013-06-19T15:34:12.841,1791268.905011,2351772.311,0.238332,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1752108758,REFUSED,,Titan,2013-07-09T23:56:09.679,,,,,
co-iss-n1752969201,REFUSED,,Earth,2013-07-19T22:57:28.630,,,,,
co-iss-n1752969273,REFUSED,,Earth,2013-07-19T22:58:19.229,,,,,
co-iss-n1820702709,REFUSED,,Saturn,2015-09-11T21:41:37.168,,,,,
co-iss-n1820702997,REFUSED,,Saturn,2015-09-11T21:46:25.166,,,,,
co-iss-n1820703789,REFUSED,,Saturn,2015-09-11T21:59:37.161,,,,,
co-iss-n1820704509,REFUSED,,Saturn,2015-09-11T22:11:37.156,,,,,
co-iss-n1820705013,REFUSED,,Saturn,2015-09-11T22:20:01.153,,,,,
co-iss-n1820705517,REFUSED,,Saturn,2015-09-11T22:28:25.150,,,,,
co-iss-n1820707317,REFUSED,,Saturn,2015-09-11T22:58:25.138,,,,,
co-iss-n1820707533,REFUSED,,Saturn,2015-09-11T23:02:01.137,,,,,
co-iss-n1835925393,REFUSED,,Saturn Rings,2016-03-06T02:11:54.686,,,,,
co-iss-n1835932295,REFUSED,,Saturn Rings,2016-03-06T04:06:56.641,,,,,
co-iss-n1835937979,REFUSED,,Saturn Rings,2016-03-06T05:41:40.603,,,,,
co-iss-n1835942445,REFUSED,,Saturn Rings,2016-03-06T06:56:06.574,,,,,
co-iss-n1835943663,REFUSED,,Saturn Rings,2016-03-06T07:16:24.566,,,,,
co-iss-n1835945287,REFUSED,,Saturn Rings,2016-03-06T07:43:28.556,,,,,
co-iss-n1835946505,REFUSED,,Saturn Rings,2016-03-06T08:03:46.548,,,,,
co-iss-n1835949347,REFUSED,,Saturn Rings,2016-03-06T08:51:08.529,,,,,
co-iss-n1835950862,DEGRADED,saturn_rings,Saturn Rings,2016-03-06T09:16:23.519,46700093.200776,1758944.943,25.550060,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-w1349081639,REFUSED,,Jupiter,2000-10-01T08:43:15.232,,,,,
co-iss-w1349081680,REFUSED,,Jupiter,2000-10-01T08:43:56.494,,,,,
co-iss-w1349081745,REFUSED,,Jupiter,2000-10-01T08:45:01.466,,,,,
co-iss-w1349105680,DEGRADED,iapetus,Jupiter,2000-10-01T15:23:56.306,7218276.470588,,,,spice_fail:SpiceSPKINSUFFDATA
co-iss-w1565236658,DEGRADED,titan,Saturn,2007-08-08T03:22:55.709,1802534.762653,5233638.131,0.655587,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-w1565240925,DEGRADED,titan,Saturn,2007-08-08T04:34:02.682,1769154.443428,5244162.241,0.662643,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-w1575551438,NOMINAL,titan,Titan,2007-12-05T12:34:31.696,3944080.479369,267566.276,13.740574,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-w1575552408,NOMINAL,titan,Titan,2007-12-05T12:50:41.689,3999114.176008,273395.904,13.627557,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-w1575555151,NOMINAL,titan,Titan,2007-12-05T13:36:24.654,4235515.077516,289898.515,13.610337,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-w1575588899,DEGRADED,dione,Titan,2007-12-05T22:59:07.411,3177206.824859,1343515.001,1.364847,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-w1576842869,NOMINAL,titan,Titan,2007-12-20T11:18:20.398,3371801.958882,251356.085,12.414443,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-w1576846797,NOMINAL,titan,Titan,2007-12-20T12:23:46.571,3092839.812957,227482.465,12.595948,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-w1577457538,REFUSED,,Anthe,2007-12-27T14:02:53.148,,,,,
co-iss-w1579176488,REFUSED,,Saturn Rings,2008-01-16T11:31:51.064,,,,,
co-iss-w1579178787,REFUSED,,Saturn Rings,2008-01-16T12:10:10.037,,,,,
co-iss-w1579179448,REFUSED,,Saturn Rings,2008-01-16T12:21:11.048,,,,,
co-iss-w1579183262,DEGRADED,saturn_rings,Saturn Rings,2008-01-16T13:24:45.046,91840662.326655,571669.882,159.653316,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-w1579188884,REFUSED,,Saturn Rings,2008-01-16T14:58:27.006,,,,,
co-iss-w1579250166,DEGRADED,saturn_rings,Saturn Rings,2008-01-17T07:59:48.584,66213687.920807,979648.101,66.589258,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-w1596023420,REFUSED,,Saturn Rings,2008-07-29T11:12:04.253,,,,,
co-iss-w1617662998,REFUSED,,Thrymr,2009-04-05T22:07:45.984,,,,,
co-iss-w1620495938,REFUSED,,Saturn Rings,2009-05-08T17:04:27.794,,,,,
co-iss-w1630961062,REFUSED,,Kari,2009-09-06T20:01:56.880,,,,,
co-iss-w1643264504,REFUSED,,Aegaeon,2010-01-27T05:37:42.221,,,,,
co-iss-w1691660167,DEGRADED,titan,Saturn,2011-08-10T08:46:49.105,1077453.671317,1701898.944,0.366911,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-w1691660267,DEGRADED,titan,Saturn,2011-08-10T08:48:28.460,2122985.790191,1702293.494,0.247133,,;pxform_fail:SpiceNOFRAMECONNECT
